FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,Notes
"AR, Jefferson",1999-2024,05069,Human infections and non-human activity,51,40,0,
"AR, Johnson",1999-2024,05071,Human infections and non-human activity,2,2,0,
"AR, Lafayette",1999-2024,05073,Human infections and non-human activity,1,1,0,
"AR, Lawrence",1999-2024,05075,Human infections and non-human activity,2,2,0,
"AR, Lee",1999-2024,05077,Non-human activity,0,0,0,
"AR, Lincoln",1999-2024,05079,Human infections and non-human activity,4,3,1,
"AR, Little River",1999-2024,05081,Human infections and non-human activity,3,2,0,
"AR, Logan",1999-2024,05083,Human infections and non-human activity,2,1,0,
"AR, Lonoke",1999-2024,05085,Human infections and non-human activity,7,5,0,
"AR, Madison",1999-2024,05087,Human infections and non-human activity,1,0,0,
"AR, Marion",1999-2024,05089,Human infections and non-human activity,2,1,0,
"AR, Miller",1999-2024,05091,Human infections and non-human activity,14,11,0,
"AR, Mississippi",1999-2024,05093,Human infections and non-human activity,2,1,0,
"AR, Monroe",1999-2024,05095,Non-human activity,0,0,0,
"AR, Montgomery",1999-2024,05097,Non-human activity,0,0,0,
"AR, Nevada",1999-2024,05099,Human infections and non-human activity,2,1,0,
"AR, Newton",1999-2024,05101,Non-human activity,0,0,0,
"AR, Ouachita",1999-2024,05103,Human infections and non-human activity,4,3,0,
"AR, Perry",1999-2024,05105,Human infections and non-human activity,1,1,0,
"AR, Phillips",1999-2024,05107,Human infections and non-human activity,3,3,0,
"AR, Pike",1999-2024,05109,Non-human activity,0,0,0,
"AR, Poinsett",1999-2024,05111,Non-human activity,0,0,0,
"AR, Polk",1999-2024,05113,Non-human activity,0,0,0,
"AR, Pope",1999-2024,05115,Human infections and non-human activity,5,2,1,
"AR, Prairie",1999-2024,05117,Non-human activity,0,0,0,
"AR, Pulaski",1999-2024,05119,Human infections and non-human activity,60,50,3,
"AR, Randolph",1999-2024,05121,Human infections and non-human activity,1,1,0,
"AR, St Francis",1999-2024,05123,Human infections and non-human activity,1,1,0,
"AR, Saline",1999-2024,05125,Human infections and non-human activity,12,6,3,
"AR, Scott",1999-2024,05127,Human infections and non-human activity,3,2,0,
"AR, Searcy",1999-2024,05129,Human infections and non-human activity,1,1,0,
"AR, Sebastian",1999-2024,05131,Human infections and non-human activity,20,17,2,
"AR, Sevier",1999-2024,05133,Human infections and non-human activity,1,1,0,
"AR, Sharp",1999-2024,05135,Human infections and non-human activity,2,0,0,
"AR, Stone",1999-2024,05137,Human infections and non-human activity,0,0,1,
"AR, Union",1999-2024,05139,Human infections and non-human activity,31,18,0,
"AR, Van Buren",1999-2024,05141,Non-human activity,0,0,0,
"AR, Washington",1999-2024,05143,Human infections and non-human activity,12,10,0,
"AR, White",1999-2024,05145,Human infections and non-human activity,5,5,1,
"AR, Woodruff",1999-2024,05147,Non-human activity,0,0,0,
"AR, Yell",1999-2024,05149,Human infections and non-human activity,1,1,1,
"CA, Alameda",1999-2024,06001,Human infections and non-human activity,11,9,3,
"CA, Alpine",1999-2024,06003,Non-human activity,0,0,0,
"CA, Amador",1999-2024,06005,Human infections and non-human activity,7,4,3,
"CA, Butte",1999-2024,06007,Human infections and non-human activity,292,119,26,
"CA, Calaveras",1999-2024,06009,Human infections and non-human activity,5,4,1,
"CA, Colusa",1999-2024,06011,Human infections and non-human activity,24,7,0,
"CA, Contra Costa",1999-2024,06013,Human infections and non-human activity,86,59,12,
"CA, Del Norte",1999-2024,06015,Non-human activity,0,0,0,
"CA, El Dorado",1999-2024,06017,Human infections and non-human activity,13,8,2,
"CA, Fresno",1999-2024,06019,Human infections and non-human activity,415,201,76,
"CA, Glenn",1999-2024,06021,Human infections and non-human activity,101,30,6,
"CA, Humboldt",1999-2024,06023,Human infections and non-human activity,2,2,2,
"CA, Imperial",1999-2024,06025,Human infections and non-human activity,17,10,3,
"CA, Inyo",1999-2024,06027,Human infections and non-human activity,4,1,0,
"CA, Kern",1999-2024,06029,Human infections and non-human activity,595,272,61,
"CA, Kings",1999-2024,06031,Human infections and non-human activity,103,40,13,
"CA, Lake",1999-2024,06033,Human infections and non-human activity,17,9,1,
"CA, Lassen",1999-2024,06035,Human infections and non-human activity,1,1,0,
"CA, Los Angeles",1999-2024,06037,Human infections and non-human activity,2241,1625,242,
"CA, Madera",1999-2024,06039,Human infections and non-human activity,79,49,12,
"CA, Marin",1999-2024,06041,Human infections and non-human activity,4,3,2,
"CA, Mariposa",1999-2024,06043,Non-human activity,0,0,0,
"CA, Mendocino",1999-2024,06045,Human infections and non-human activity,5,5,0,
"CA, Merced",1999-2024,06047,Human infections and non-human activity,114,63,17,
"CA, Modoc",1999-2024,06049,Human infections and non-human activity,2,2,0,
"CA, Mono",1999-2024,06051,Human infections and non-human activity,1,1,0,
"CA, Monterey",1999-2024,06053,Human infections and non-human activity,6,5,0,
"CA, Napa",1999-2024,06055,Human infections and non-human activity,4,2,1,
"CA, Nevada",1999-2024,06057,Human infections and non-human activity,9,5,0,
"CA, Orange",1999-2024,06059,Human infections and non-human activity,703,510,75,
"CA, Placer",1999-2024,06061,Human infections and non-human activity,111,59,15,
"CA, Plumas",1999-2024,06063,Human infections and non-human activity,1,1,0,
"CA, Riverside",1999-2024,06065,Human infections and non-human activity,611,385,54,
"CA, Sacramento",1999-2024,06067,Human infections and non-human activity,417,221,44,
"CA, San Benito",1999-2024,06069,Human infections and non-human activity,0,0,1,
"CA, San Bernardino",1999-2024,06071,Human infections and non-human activity,517,309,80,
"CA, San Diego",1999-2024,06073,Human infections and non-human activity,148,110,15,
"CA, San Francisco",1999-2024,06075,Human infections and non-human activity,7,6,2,
"CA, San Joaquin",1999-2024,06077,Human infections and non-human activity,199,109,34,
"CA, San Luis Obispo",1999-2024,06079,Human infections and non-human activity,8,5,1,
"CA, San Mateo",1999-2024,06081,Human infections and non-human activity,6,6,2,
"CA, Santa Barbara",1999-2024,06083,Human infections and non-human activity,7,5,1,
"CA, Santa Clara",1999-2024,06085,Human infections and non-human activity,51,31,7,
"CA, Santa Cruz",1999-2024,06087,Human infections and non-human activity,2,2,0,
"CA, Shasta",1999-2024,06089,Human infections and non-human activity,43,28,4,
"CA, Sierra",1999-2024,06091,Non-human activity,0,0,0,
"CA, Siskiyou",1999-2024,06093,Human infections and non-human activity,1,1,0,
"CA, Solano",1999-2024,06095,Human infections and non-human activity,41,24,2,
"CA, Sonoma",1999-2024,06097,Human infections and non-human activity,3,3,0,
"CA, Stanislaus",1999-2024,06099,Human infections and non-human activity,436,236,52,
"CA, Sutter",1999-2024,06101,Human infections and non-human activity,79,31,10,
"CA, Tehama",1999-2024,06103,Human infections and non-human activity,62,27,5,
"CA, Trinity",1999-2024,06105,Non-human activity,0,0,0,
"CA, Tulare",1999-2024,06107,Human infections and non-human activity,266,182,34,
"CA, Tuolumne",1999-2024,06109,Human infections and non-human activity,2,1,0,
"CA, Ventura",1999-2024,06111,Human infections and non-human activity,36,24,1,
"CA, Yolo",1999-2024,06113,Human infections and non-human activity,175,76,24,
"CA, Yuba",1999-2024,06115,Human infections and non-human activity,72,38,6,
"CO, Adams",1999-2024,08001,Human infections and non-human activity,484,191,28,
"CO, Alamosa",1999-2024,08003,Human infections and non-human activity,7,1,1,
"CO, Arapahoe",1999-2024,08005,Human infections and non-human activity,297,121,34,
"CO, Archuleta",1999-2024,08007,Human infections and non-human activity,7,3,0,
"CO, Baca",1999-2024,08009,Human infections and non-human activity,12,4,0,
"CO, Bent",1999-2024,08011,Human infections and non-human activity,23,7,1,
"CO, Boulder",1999-2024,08013,Human infections and non-human activity,870,169,36,
"CO, Broomfield",1999-2024,08014,Human infections and non-human activity,108,34,10,
"CO, Chaffee",1999-2024,08015,Human infections and non-human activity,18,5,1,
"CO, Cheyenne",1999-2024,08017,Human infections and non-human activity,10,4,0,
"CO, Clear Creek",1999-2024,08019,Human infections,3,2,0,
"CO, Conejos",1999-2024,08021,Human infections and non-human activity,1,0,0,
"CO, Costilla",1999-2024,08023,Human infections and non-human activity,2,2,0,
"CO, Crowley",1999-2024,08025,Human infections and non-human activity,12,8,0,
"CO, Custer",1999-2024,08027,Human infections and non-human activity,2,0,0,
"CO, Delta",1999-2024,08029,Human infections and non-human activity,224,59,7,
"CO, Denver",1999-2024,08031,Human infections and non-human activity,416,204,32,
"CO, Dolores",1999-2024,08033,Non-human activity,0,0,0,
"CO, Douglas",1999-2024,08035,Human infections and non-human activity,99,36,25,
"CO, Eagle",1999-2024,08037,Human infections and non-human activity,5,2,0,
"CO, Elbert",1999-2024,08039,Human infections and non-human activity,17,6,3,
"CO, El Paso",1999-2024,08041,Human infections and non-human activity,197,77,20,
"CO, Fremont",1999-2024,08043,Human infections and non-human activity,131,29,3,
"CO, Garfield",1999-2024,08045,Human infections and non-human activity,17,3,0,
"CO, Grand",1999-2024,08049,Human infections and non-human activity,4,2,0,
"CO, Gunnison",1999-2024,08051,Human infections and non-human activity,3,1,0,
"CO, Huerfano",1999-2024,08055,Human infections and non-human activity,15,4,1,
"CO, Jefferson",1999-2024,08059,Human infections and non-human activity,355,135,39,
"CO, Kiowa",1999-2024,08061,Human infections and non-human activity,4,1,0,
"CO, Kit Carson",1999-2024,08063,Human infections and non-human activity,14,2,0,
"CO, La Plata",1999-2024,08067,Human infections and non-human activity,75,26,9,
"CO, Larimer",1999-2024,08069,Human infections and non-human activity,1069,173,39,
"CO, Las Animas",1999-2024,08071,Human infections and non-human activity,13,6,1,
"CO, Lincoln",1999-2024,08073,Human infections and non-human activity,14,6,1,
"CO, Logan",1999-2024,08075,Human infections and non-human activity,141,29,7,
"CO, Mesa",1999-2024,08077,Human infections and non-human activity,305,88,42,
"CO, Moffat",1999-2024,08081,Human infections and non-human activity,3,0,1,
"CO, Montezuma",1999-2024,08083,Human infections and non-human activity,29,12,2,
"CO, Montrose",1999-2024,08085,Human infections and non-human activity,131,63,4,
"CO, Morgan",1999-2024,08087,Human infections and non-human activity,131,31,5,
"CO, Otero",1999-2024,08089,Human infections and non-human activity,65,17,5,
"CO, Ouray",1999-2024,08091,Non-human activity,0,0,0,
"CO, Park",1999-2024,08093,Human infections and non-human activity,2,0,0,
"CO, Phillips",1999-2024,08095,Human infections and non-human activity,40,2,0,
"CO, Pitkin",1999-2024,08097,Human infections and non-human activity,1,0,0,
"CO, Prowers",1999-2024,08099,Human infections and non-human activity,95,13,2,
"CO, Pueblo",1999-2024,08101,Human infections and non-human activity,276,85,14,
"CO, Rio Blanco",1999-2024,08103,Human infections and non-human activity,5,3,0,
"CO, Rio Grande",1999-2024,08105,Human infections and non-human activity,4,1,0,
"CO, Routt",1999-2024,08107,Non-human activity,0,0,0,
"CO, Saguache",1999-2024,08109,Human infections and non-human activity,4,0,0,
"CO, San Miguel",1999-2024,08113,Human infections,2,2,0,
"CO, Sedgwick",1999-2024,08115,Human infections and non-human activity,28,3,1,
"CO, Summit",1999-2024,08117,Human infections,5,1,0,
"CO, Teller",1999-2024,08119,Human infections and non-human activity,5,4,0,
"CO, Washington",1999-2024,08121,Human infections and non-human activity,22,9,2,
"CO, Weld",1999-2024,08123,Human infections and non-human activity,923,295,40,
"CO, Yuma",1999-2024,08125,Human infections and non-human activity,29,5,3,
"CT, Fairfield",1999-2024,09001,Data unavailable,,,,Cumulative data unavailable for CT
"CT, Hartford",1999-2024,09003,Data unavailable,,,,Cumulative data unavailable for CT
"CT, Litchfield",1999-2024,09005,Data unavailable,,,,Cumulative data unavailable for CT
"CT, Middlesex",1999-2024,09007,Data unavailable,,,,Cumulative data unavailable for CT
"CT, New Haven",1999-2024,09009,Data unavailable,,,,Cumulative data unavailable for CT
"CT, New London",1999-2024,09011,Data unavailable,,,,Cumulative data unavailable for CT
"CT, Tolland",1999-2024,09013,Data unavailable,,,,Cumulative data unavailable for CT
"CT, Windham",1999-2024,09015,Data unavailable,,,,Cumulative data unavailable for CT
"DE, Kent",1999-2024,10001,Human infections and non-human activity,20,9,3,
"DE, New Castle",1999-2024,10003,Human infections and non-human activity,34,24,9,
"DE, Sussex",1999-2024,10005,Human infections and non-human activity,8,4,1,
"DC, Washington",1999-2024,11001,Human infections and non-human activity,137,78,2,
"FL, Alachua",1999-2024,12001,Human infections and non-human activity,4,3,0,
"FL, Baker",1999-2024,12003,Non-human activity,0,0,0,
"FL, Bay",1999-2024,12005,Human infections and non-human activity,27,20,4,
"FL, Bradford",1999-2024,12007,Non-human activity,0,0,0,
"FL, Brevard",1999-2024,12009,Human infections and non-human activity,9,6,2,
"FL, Broward",1999-2024,12011,Human infections and non-human activity,15,10,1,
"FL, Calhoun",1999-2024,12013,Human infections and non-human activity,2,2,0,
"FL, Charlotte",1999-2024,12015,Human infections and non-human activity,3,2,1,
"FL, Citrus",1999-2024,12017,Human infections and non-human activity,3,2,1,
"FL, Clay",1999-2024,12019,Human infections and non-human activity,6,5,0,
"FL, Collier",1999-2024,12021,Human infections and non-human activity,15,15,0,
"FL, Columbia",1999-2024,12023,Human infections and non-human activity,0,0,1,
"FL, De Soto",1999-2024,12027,Human infections and non-human activity,2,1,0,
"FL, Dixie",1999-2024,12029,Non-human activity,0,0,0,
"FL, Duval",1999-2024,12031,Human infections and non-human activity,88,69,12,
"FL, Escambia",1999-2024,12033,Human infections and non-human activity,57,46,6,
"FL, Flagler",1999-2024,12035,Non-human activity,0,0,0,
"FL, Franklin",1999-2024,12037,Human infections and non-human activity,1,0,0,
"FL, Gadsden",1999-2024,12039,Human infections and non-human activity,3,3,1,
"FL, Gilchrist",1999-2024,12041,Non-human activity,0,0,0,
"FL, Glades",1999-2024,12043,Human infections and non-human activity,1,1,0,
"FL, Gulf",1999-2024,12045,Human infections and non-human activity,4,3,1,
"FL, Hamilton",1999-2024,12047,Non-human activity,0,0,0,
"FL, Hardee",1999-2024,12049,Non-human activity,0,0,0,
"FL, Hendry",1999-2024,12051,Non-human activity,0,0,0,
"FL, Hernando",1999-2024,12053,Human infections and non-human activity,0,0,1,
"FL, Highlands",1999-2024,12055,Human infections and non-human activity,2,2,0,
"FL, Hillsborough",1999-2024,12057,Human infections and non-human activity,10,9,5,
"FL, Holmes",1999-2024,12059,Human infections and non-human activity,5,4,0,
"FL, Indian River",1999-2024,12061,Non-human activity,0,0,0,
"FL, Jackson",1999-2024,12063,Human infections and non-human activity,2,1,0,
"FL, Jefferson",1999-2024,12065,Human infections and non-human activity,1,1,0,
"FL, Lafayette",1999-2024,12067,Human infections and non-human activity,2,1,0,
"FL, Lake",1999-2024,12069,Human infections and non-human activity,2,2,0,
"FL, Lee",1999-2024,12071,Human infections and non-human activity,7,5,1,
"FL, Leon",1999-2024,12073,Human infections and non-human activity,10,9,0,
"FL, Levy",1999-2024,12075,Human infections and non-human activity,1,0,0,
"FL, Liberty",1999-2024,12077,Non-human activity,0,0,0,
"FL, Madison",1999-2024,12079,Human infections and non-human activity,2,2,0,
"FL, Manatee",1999-2024,12081,Human infections and non-human activity,3,3,3,
"FL, Marion",1999-2024,12083,Human infections and non-human activity,11,10,1,
"FL, Martin",1999-2024,12085,Human infections and non-human activity,2,2,0,
"FL, Miami-Dade",1999-2024,12086,Human infections and non-human activity,60,51,39,
"FL, Monroe",1999-2024,12087,Human infections and non-human activity,4,4,0,
"FL, Nassau",1999-2024,12089,Human infections and non-human activity,6,3,1,
"FL, Okaloosa",1999-2024,12091,Human infections and non-human activity,14,10,1,
"FL, Okeechobee",1999-2024,12093,Human infections and non-human activity,1,1,0,
"FL, Orange",1999-2024,12095,Human infections and non-human activity,4,4,1,
"FL, Osceola",1999-2024,12097,Human infections and non-human activity,1,1,0,
"FL, Palm Beach",1999-2024,12099,Human infections and non-human activity,11,9,1,
"FL, Pasco",1999-2024,12101,Human infections and non-human activity,3,2,1,
"FL, Pinellas",1999-2024,12103,Human infections and non-human activity,21,10,1,
"FL, Polk",1999-2024,12105,Human infections and non-human activity,3,1,2,
"FL, Putnam",1999-2024,12107,Human infections and non-human activity,2,1,1,
"FL, St Johns",1999-2024,12109,Human infections and non-human activity,3,3,1,
"FL, St Lucie",1999-2024,12111,Non-human activity,0,0,0,
"FL, Santa Rosa",1999-2024,12113,Human infections and non-human activity,20,12,2,
"FL, Sarasota",1999-2024,12115,Human infections and non-human activity,10,7,0,
"FL, Seminole",1999-2024,12117,Human infections and non-human activity,3,1,0,
"FL, Sumter",1999-2024,12119,Human infections and non-human activity,3,3,0,
"FL, Suwannee",1999-2024,12121,Human infections and non-human activity,4,4,2,
"FL, Taylor",1999-2024,12123,Human infections and non-human activity,2,2,0,
"FL, Union",1999-2024,12125,Human infections and non-human activity,1,1,0,
"FL, Volusia",1999-2024,12127,Human infections and non-human activity,10,10,0,
"FL, Wakulla",1999-2024,12129,Human infections and non-human activity,2,2,0,
"FL, Walton",1999-2024,12131,Human infections and non-human activity,8,4,4,
"FL, Washington",1999-2024,12133,Human infections and non-human activity,5,5,0,
"GA, Appling",1999-2024,13001,Human infections and non-human activity,2,0,0,
"GA, Atkinson",1999-2024,13003,Non-human activity,0,0,0,
"GA, Bacon",1999-2024,13005,Human infections and non-human activity,1,1,0,
"GA, Baker",1999-2024,13007,Non-human activity,0,0,0,
"GA, Baldwin",1999-2024,13009,Non-human activity,0,0,0,
"GA, Banks",1999-2024,13011,Non-human activity,0,0,0,
"GA, Barrow",1999-2024,13013,Non-human activity,0,0,0,
"GA, Bartow",1999-2024,13015,Human infections and non-human activity,2,1,0,
"GA, Ben Hill",1999-2024,13017,Human infections and non-human activity,3,3,0,
"GA, Berrien",1999-2024,13019,Non-human activity,0,0,0,
"GA, Bibb",1999-2024,13021,Human infections and non-human activity,12,11,3,
"GA, Bleckley",1999-2024,13023,Non-human activity,0,0,0,
"GA, Brantley",1999-2024,13025,Human infections and non-human activity,6,3,0,
"GA, Brooks",1999-2024,13027,Non-human activity,0,0,0,
"GA, Bryan",1999-2024,13029,Human infections and non-human activity,4,2,1,
"GA, Bulloch",1999-2024,13031,Human infections and non-human activity,4,2,2,
"GA, Burke",1999-2024,13033,Human infections and non-human activity,1,1,0,
"GA, Butts",1999-2024,13035,Human infections and non-human activity,1,0,1,
"GA, Camden",1999-2024,13039,Human infections and non-human activity,1,0,1,
"GA, Candler",1999-2024,13043,Human infections and non-human activity,1,0,2,
"GA, Carroll",1999-2024,13045,Human infections and non-human activity,1,0,2,
"GA, Catoosa",1999-2024,13047,Human infections and non-human activity,3,3,0,
"GA, Charlton",1999-2024,13049,Non-human activity,0,0,0,
"GA, Chatham",1999-2024,13051,Human infections and non-human activity,27,21,10,
"GA, Chattahoochee",1999-2024,13053,Non-human activity,0,0,0,
"GA, Chattooga",1999-2024,13055,Non-human activity,0,0,0,
"GA, Cherokee",1999-2024,13057,Human infections and non-human activity,6,3,6,
"GA, Clarke",1999-2024,13059,Human infections and non-human activity,3,1,2,
"GA, Clayton",1999-2024,13063,Human infections and non-human activity,9,6,3,
"GA, Clinch",1999-2024,13065,Human infections and non-human activity,0,0,1,
"GA, Cobb",1999-2024,13067,Human infections and non-human activity,39,24,5,
"GA, Coffee",1999-2024,13069,Human infections and non-human activity,3,1,0,
"GA, Colquitt",1999-2024,13071,Human infections and non-human activity,1,0,0,
"GA, Columbia",1999-2024,13073,Human infections and non-human activity,10,5,1,
"GA, Cook",1999-2024,13075,Human infections and non-human activity,0,0,1,
"GA, Coweta",1999-2024,13077,Human infections and non-human activity,0,0,1,
